merchant_raw,description_raw,amount,direction,native_category,gold_leaf,target_leaf
,CASH FEE 9776,1.55,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 9776,0.9,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 9776,0.35,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 9776,0.6,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 9776,1.8,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 9776,0.3,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 8575,3.0,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,UNARRANGED OVERDRAFT CHARGES 15FEB25-14MAR25,5.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,BBA OVDRFT  ************3230 STO,155.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,BBA OVDRFT  ************3230 FT,25600.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,BALANCE TRANSFER REQUEST 2800,200.0,debit,Balance Transfers | Bank Transfer,balance_transfer,balance_transfer
,BALANCE TRANSFER REQUEST 2800,445.0,debit,Balance Transfers | Bank Transfer,balance_transfer,balance_transfer
,CASH FEE 9938,4.5,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 9938,0.3,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE,7.91,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE,7.88,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 6287,3.0,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Cash Transaction Fee, 13 OCT000000050.00",2.99,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Interest On Your Cash Balance, INTEREST 2.2025% CASH INTEREST CHARGE",12.35,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Interest On Your Cash Balance, INTEREST 2.2025% CASH INTEREST CHARGE",15.05,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,UNARRANGED OVERDRAFT CHARGES 16JAN24-15FEB24,10.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,UNARRANGED OVERDRAFT CHARGES 16FEB24-15MAR24,10.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,UNARRANGED OVERDRAFT CHARGES 16APR24-15MAY24,10.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,CASH FEE 1692,1.5,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 1692,20.73,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 1692,10.76,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 1692,4.5,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 1692,2.18,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Cash Transaction Fee, GBP1 NOV000000010.00 01 NOV000000010.00",2.99,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,Interest On Your Cash Balance CASH INTEREST CHARGE,2.88,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,Interest On Your Cash Balance CASH INTEREST CHARGE,2.08,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,Interest On Your Cash Balance CASH INTEREST CHARGE,0.84,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,Interest On Your Cash Balance CASH INTEREST CHARGE,3.63,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE,48.29,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,UNARRANGED OVERDRAFT CHARGES 16JUN23-14JUL23,5.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,PAID REFERRAL FEE 04JUL A/C 64853500,40.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,UNARRANGED OVERDRAFT CHARGES 15JUN24-15JUL24,10.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,UNARRANGED OVERDRAFT CHARGES 16AUG24-13SEP24,5.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,UNARRANGED OVERDRAFT CHARGES 15MAR25-15APR25,10.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,CASH ADVANCE FEE,78.0,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,PAID REFERRAL FEE 28JUN A/C 36178225,20.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,CASH ADVANCE FEE,6.03,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 8498,1.8,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 8498,0.3,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 8498,0.6,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,BALANCE TRANSFER FEE 5301,62.15,debit,Balance Transfers | Bank Transfer,balance_transfer,balance_transfer
,BALANCE TRANSFER REQUEST 5301,2078.57,debit,Balance Transfers | Bank Transfer,balance_transfer,balance_transfer
,CASH FEE 5997,7.55,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 5997,0.66,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 5997,6.0,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 5997,6.3,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 5997,2.46,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,PAID REFERRAL FEE 01MAR A/C 11616199,20.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,"Cash Transaction Fee, 14 JUL000000100.00",2.99,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Cash Transaction Fee, 18 APR000000030.00",2.99,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 8036,1.24,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE,22.5,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Cash Transaction Fee, 30 JAN000000021.75",2.99,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,Interest On Your Cash Balance CASH INTEREST CHARGE,1.0,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,Interest On Your Cash Balance CASH INTEREST CHARGE,0.02,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 2955,0.3,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,BALANCE TRANSFER REQUEST 3699,440.0,debit,Balance Transfers | Bank Transfer,balance_transfer,balance_transfer
,BALANCE TRANSFER REQUEST 3699,300.0,debit,Balance Transfers | Bank Transfer,balance_transfer,balance_transfer
,CASH FEE 3699,1.5,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 3699,3.0,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 3699,6.0,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,BALANCE TRANSFER FEE 3699,34.8,debit,Balance Transfers | Bank Transfer,balance_transfer,balance_transfer
,BALANCE TRANSFER FEE 3699,84.1,debit,Balance Transfers | Bank Transfer,balance_transfer,balance_transfer
,BALANCE TRANSFER BT000199 3699,1200.0,debit,Balance Transfers | Bank Transfer,balance_transfer,balance_transfer
,BALANCE TRANSFER BT000199 3699,2900.0,debit,Balance Transfers | Bank Transfer,balance_transfer,balance_transfer
,CASH ADVANCE FEE,3.16,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 8000,7.5,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH ADVANCE FEE,7.48,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,BALANCE TRANSFER REQUEST 7496,6520.0,debit,Balance Transfers | Bank Transfer,balance_transfer,balance_transfer
,CASH FEE 5609,7.5,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 5609,15.0,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,PAID REFERRAL FEE 03JAN A/C 78046785,20.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,CASH FEE,1.39,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,BBA OVDRFT  ************9666 STO,1374.28,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,CASH FEE,3.05,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE,8.09,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Cash Transaction Fee, 27 NOV000000045.22",2.99,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,PAID REFERRAL FEE 02AUG A/C 32076827,20.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,PAID REFERRAL FEE 30AUG A/C 32076827,20.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,"Interest On Your Cash Balance, INTEREST 2.5866% CASH INTEREST CHARGE",1.25,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Interest On Your Cash Balance, INTEREST 2.5866% CASH INTEREST CHARGE",0.01,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE,1.86,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,UNARRANGED OVERDRAFT CHARGES 16MAR24-15APR24,5.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,UNARRANGED OVERDRAFT CHARGES 16JUL24-15AUG24,20.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,Card Balance Transfer CARD BALANCE TRANSFER,100.0,debit,Balance Transfers | Bank Transfer,balance_transfer,balance_transfer
,"Cash Transaction Fee, 30 DEC000000100.00",2.99,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Cash Transaction Fee, 10 MAY000000097.87",2.99,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Cash Transaction Fee, 23 MAY000000038.92",2.99,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Cash Transaction Fee, 23 MAY000000020.10",2.99,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Cash Transaction Fee, GBP7 JUN000000049.07 07 JUN000000049.07",2.99,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,13.07,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,12.06,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,8.83,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,10.59,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,9.41,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,9.56,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,9.59,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,10.65,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,10.9,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,9.77,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,10.12,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE,1.75,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE,1.25,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,BALANCE TRANSFER REQUEST 9219,1200.21,debit,Balance Transfers | Bank Transfer,balance_transfer,balance_transfer
,Card Balance Transfer Fee CARD BALANCE TRANSFER FEE,3.4,debit,Balance Transfers | Bank Transfer,balance_transfer,balance_transfer
,CASH FEE 5819,0.3,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE,7.0,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE,16.0,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,PAID REFERRAL FEE 04OCT A/C 14757117,20.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,PAID REFERRAL FEE 03JAN A/C 14757117,60.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,BALANCE TRANSFER,1296.94,debit,Balance Transfers | Bank Transfer,balance_transfer,balance_transfer
,UNARRANGED OVERDRAFT CHARGES 16APR24-15MAY24,20.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,UNARRANGED OVERDRAFT CHARGES 16JUL24-15AUG24,10.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,PAID REFERRAL FEE 30MAY A/C 64853500,60.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,CASH FEE,17.5,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE,57.5,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE,0.91,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,PAID REFERRAL FEE 02MAY A/C 47823852,20.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,BALANCE TRANSFER FEE 3054,27.0,debit,Balance Transfers | Bank Transfer,balance_transfer,balance_transfer
,BALANCE TRANSFER BT000203 3054,900.0,debit,Balance Transfers | Bank Transfer,balance_transfer,balance_transfer
,CASH ADVANCE FEE,8.97,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Cash Transaction Fee, 20 OCT000000010.00",2.99,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Interest On Your Cash Balance, INTEREST 2.5866% CASH INTEREST CHARGE",1.35,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Interest On Your Cash Balance, INTEREST 2.5866% CASH INTEREST CHARGE",4.17,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,Interest On Your Cash Balance CASH INTEREST CHARGE,0.65,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,Interest On Your Cash Balance CASH INTEREST CHARGE,0.66,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,13.26,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,13.14,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,8.9,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,8.75,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,5.92,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,5.9,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,8.44,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,3.03,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,10.02,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,7.07,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,12.89,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,9.84,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,3.75,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,11.62,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE                              ,9.94,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE,1.77,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,PAID REFERRAL FEE 01MAR A/C 75176521,20.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,BALANCE TRANSFER BT000208 6761,7332.33,debit,Balance Transfers | Bank Transfer,balance_transfer,balance_transfer
,BALANCE TRANSFER FEE 6761,285.96,debit,Balance Transfers | Bank Transfer,balance_transfer,balance_transfer
,BALANCE TRANSFER BT000208 6761,4000.0,debit,Balance Transfers | Bank Transfer,balance_transfer,balance_transfer
,BALANCE TRANSFER FEE 6761,156.0,debit,Balance Transfers | Bank Transfer,balance_transfer,balance_transfer
,CASH FEE 7530,3.0,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 7530,2.4,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 7530,2.7,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE,2.55,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Cash Transaction Fee, 23 MAR000000020.00",2.99,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE,8.2,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE,6.15,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,PAID REFERRAL FEE 04OCT A/C 77470702,20.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,CASH FEE 7647,4.26,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 7647,0.66,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,UNARRANGED OVERDRAFT CHARGES 16APR24-15MAY24,5.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,CASH FEE 2380,1.66,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 9346,0.66,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,UNARRANGED OVERDRAFT CHARGES 16NOV24-13DEC24,10.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,UNARRANGED OVERDRAFT CHARGES 14DEC24-15JAN25,15.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,UNARRANGED OVERDRAFT CHARGES 16JAN25-14FEB25,10.0,debit,Bank Charges and Returns | Unarranged Overdraft,overdraft_unarranged,overdraft_unarranged
,CASH FEE 4621,2.4,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE,0.75,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE,1.47,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Cash Transaction Fee, GBP3 MAR000000030.00 03 MAR000000030.00",2.99,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE 6059,27.75,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Cash Transaction Fee, GBP6 MAY000000025.00 06 MAY000000025.00",2.99,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Cash Transaction Fee, 31 MAY000000014.90",2.99,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,Interest On Your Cash Balance CASH INTEREST CHARGE,0.17,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Interest On Your Cash Balance, INTEREST 0.0% CASH INTEREST CHARGE",0.27,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Interest On Your Cash Balance, INTEREST 0.0% CASH INTEREST CHARGE",0.6,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,"Interest On Your Cash Balance, INTEREST 0.0% CASH INTEREST CHARGE",6.74,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,CASH FEE,3.65,debit,Bank Charges and Returns | Cash Advance Fees,cash_advance_fee,cash_advance_fee
,GC C1             GROWTHNETWRK-WNFE8,2088.12,credit,INCOME_SALARY,salary,salary
,TEYA SOLUTIONS LTD5017080TEYA250710 FP 10/07/25 0730  MODULO00P210X0YMHV,106.64,credit,INCOME_SALARY,salary,salary
,Issiah Sutherland  D T Minott BGC,4.00,credit,INCOME_SALARY,transfer_p2p,salary
,JP049191D DWP PIP 00669144,558.40,credit,INCOME_SALARY,benefits_state,salary
,K NAILEN 600000001619116784,60.00,credit,INCOME_SALARY,transfer_p2p,salary
,L SAUNDERS 26OCT25 110209 13700762,5.00,credit,INCOME_SALARY,transfer_p2p,salary
,556120 12SEP 1040,330.00,credit,INCOME_SALARY,unclassified_transfer,salary
,WILDE.S SOLICITORSLANG ESTATE       FP 11/08/25 1303  59130306342405000NLANG ESTATE,5007.94,credit,INCOME_SALARY,income_other_unspecified,salary
,ADYEN N.V.         / ref: FAIRE NN67JRZHHAJN,84.58,credit,INCOME_SALARY,income_other_unspecified,salary
,"JASON POWER MRS JOAN POWER P7QWSHUZS9QTQLUL9Y 02AUG25 MRS JOAN POWER,P7QWSHUZS9QTQLUL9Y",10.00,credit,INCOME_SALARY,transfer_p2p,salary
,"O SULLIVAN M NAILS      06SEP25 RP4679963541377800 NAILS      06SEP25,RP4679963541377800",10.00,credit,INCOME_SALARY,transfer_p2p,salary
,"ANTHONY MULLAN THE WIFE YBBPI0028513630983 THE WIFE,YBBPI0028513630983",100.00,credit,INCOME_SALARY,transfer_p2p,salary
,M HASAN           HASAN             FP 17/07/25 0119  600000001595516496,4000.00,credit,INCOME_SALARY,transfer_p2p,salary
,BREAK,1131.27,credit,INCOME_SALARY,unclassified_transfer,salary
,0629 SDP PLUMBING LTD,3600.00,credit,INCOME_SALARY,unclassified_transfer,salary
,"N NIKPOUR-VALISEH 400000001609197673 400000001609197673,",400.00,credit,INCOME_SALARY,transfer_p2p,salary
,"BALA E WORK       06SEP25 19160245384140000N WORK       06SEP25,19160245384140000N",250.00,credit,INCOME_SALARY,transfer_p2p,salary
,ADYEN N.V.         / ref: FAIRE CSWSVR6QM5L3,15.12,credit,INCOME_SALARY,income_other_unspecified,salary
,"OWEN-JONES XBOX GAMES 726465219541509001 XBOX GAMES,726465219541509001",30.00,credit,INCOME_SALARY,transfer_p2p,salary
,"L RAVENSCROFT SHOP       21SEP25 400000001637873514 SHOP       21SEP25,400000001637873514",25.00,credit,INCOME_SALARY,transfer_p2p,salary
,LE SHUTTLE 1991 E/tunnel Internet,44.00,credit,INCOME_SALARY,refund_received,salary
,S MCDONALD        FP 14/08/25 1942  300000001615377607,15.00,credit,INCOME_SALARY,transfer_p2p,salary
,JT190141B DWP CA 00529164,83.30,credit,INCOME_SALARY,benefits_state,salary
,"N HARRIES COUNCIL TAX 200000001622317136 COUNCIL TAX,200000001622317136",20.00,credit,INCOME_SALARY,transfer_p2p,salary
,BLUNDELLS OF LIVER 03585692,328.58,credit,INCOME_SALARY,unclassified_transfer,salary
,"C CARDOSO DA COSTA 300000001639798883 300000001639798883,",50.00,credit,INCOME_SALARY,transfer_p2p,salary
,H JENKINS 309259 27138263,1.00,credit,INCOME_SALARY,transfer_p2p,salary
,PH365609B DWP CA  000000003327191342 BGC,83.30,credit,INCOME_SALARY,benefits_state,salary
,B VARRIER 110702 13329168,10.00,credit,INCOME_SALARY,transfer_p2p,salary
,Payment from Fourth Wave Wine Partners Uk Ltd - TOWN-LG210825/ROC/PI5460216,1603.13,credit,INCOME_SALARY,salary,salary
,YZ512344A DWP DLA 02218651,29.20,credit,INCOME_SALARY,benefits_state,salary
,SG128915D DWP CA 02200842,83.30,credit,INCOME_SALARY,benefits_state,salary
,WOLVERHAMPTON WALL  WN25SV5721 BGC,125.00,credit,INCOME_SALARY,unclassified_transfer,salary
,MV- 02876943 -1108,1386.32,credit,INCOME_SALARY,unclassified_transfer,salary
,JR198598C DWP CA 00515542,83.30,credit,INCOME_SALARY,benefits_state,salary
, MULLER P,30.00,credit,INCOME_SALARY,transfer_p2p,salary
,Square T3ZKXGCVR86WB8P,90.95,credit,INCOME_SALARY,income_other_unspecified,salary
,Zeynep Cidil 1CMYK3L3J74AATW,205.60,credit,INCOME_SALARY,transfer_p2p,salary
,AIR CORE LTD SW   SALARY            FP 26/06/25 1505  MF00012712C20BB400,2320.84,credit,INCOME_SALARY,salary,salary
,"MISS NICOLA MARIE THEBENLLECH 00151254632BBLKXVJ THEBENLLECH,00151254632BBLKXVJ",416.00,credit,INCOME_SALARY,transfer_p2p,salary
,PECKHAM,630.00,credit,INCOME_SALARY,unclassified_transfer,salary
,"RENAYA RENIESS WAL ME 000000FT252094875V ME,000000FT252094875V",5.00,credit,INCOME_SALARY,transfer_p2p,salary
